temperature_c,humidity_pct,wind_speed,cloud_cover_pct,pressure_hpa,rain_flag,slope_angle_deg,cohesion_kpa,friction_angle_deg,slope_height_m,unit_weight_knm3,pore_water_pressure_ratio,reinforcement_type,reinforcement_numeric,factor_of_safety,compressive_strength_mpa
23.72033759818312,89.59264065174611,7.335604391040214,50.50169383291316,1032.378758690279,1,41.907228418608696,21.81383683100143,38.24995777474926,18.451041854198746,18.745401188473625,0.8472365776964198,Drainage,3,2.613691702557488,25.508634045943847
27.879734159310487,46.48970403534824,5.952483593282764,4.990052927536981,992.6141895121405,0,32.96462267670965,19.981044330413148,24.61279988996779,9.266799882292611,24.50714306409916,0.4945170437193704,Geosynthetics,2,2.2416263474134595,70.97967823028466
25.06908440179109,83.07284289257146,1.3719918180799209,14.855783939243429,1007.2316201172738,0,58.22492624319704,12.926926062628702,28.66599235924716,10.68616512374972,22.31993941811405,0.1954656106321858,Retaining Wall,0,1.568243617156379,71.5513619794643
23.622079574922424,74.36775792086564,7.050550632784658,67.25528206034686,982.6320127095368,1,20.948922549211908,32.32700015456696,36.58201592144546,13.13020076814148,20.98658484197037,0.7366417866100926,Drainage,3,3.0,23.131683842436207
20.591369983472617,96.85882241307948,4.6439209259534975,47.67644427890656,980.8251417426508,0,39.39282079994703,26.4480872228883,32.052233613111994,14.164400046422676,16.560186404424364,0.4186781356832957,Soil Nailing,1,3.0,32.12852301809096
26.147352826666403,48.21726041042326,15.258546760433369,59.76627863227763,1049.738751014439,0,45.01050074951113,43.95654465458016,38.464275965872346,15.901781414474485,16.559945203362027,0.5946274834524972,Geosynthetics,2,3.0,35.40677137111615
20.939680281567316,40.79944443606025,2.2325659971252265,45.82750842102168,1014.1737660638806,0,51.27822446726909,6.444931121692621,44.03019753057149,16.495701303357247,15.580836121681994,0.1072652901739388,Geosynthetics,2,1.5457514734286515,69.5204036008863
32.29432501955199,51.848471069719,2.873620839084101,92.5514972525134,1006.0417334780344,0,30.348551521400356,33.97405673998068,22.913667192879934,25.50723554693912,23.66176145774935,0.6315839895159923,Retaining Wall,0,3.0,39.82403321537641
34.09156901252573,48.05711447385431,5.570206017562278,82.52487276907972,993.7320466194784,0,44.34609538287408,39.332699533020254,37.73919290995153,27.930793587171856,21.011150117432088,0.3735504889451243,Soil Nailing,1,3.0,49.09793119546387
19.58603797064444,82.9782932331459,5.760536586706103,98.0144498972855,1036.5034571561982,1,25.160073569214138,39.17689561347382,25.758603890802863,18.899564365686015,22.080725777960453,0.3341897497184944,Soil Nailing,1,3.0,45.11891950051449
29.79312595206661,81.31765126927587,16.92609873392226,93.92329417135517,1029.4026903671104,0,31.773804618091013,44.87332851929863,30.361918185189232,45.82833889643277,15.205844942958024,0.9799155787778012,Geosynthetics,2,3.0,44.81036413736821
23.22237299382261,76.87794305987336,15.825673129009743,72.86978986682412,980.1089338550744,1,54.78135656016996,37.806518427327234,20.82156814487849,29.891287550252954,24.699098521619945,0.4324306427602472,Soil Nailing,1,3.0,77.64300341978978
24.201114027348307,45.14653801209415,11.572712664104507,5.25304210213815,1033.9858671128163,0,57.49538046654772,46.75145277414634,23.397684557317472,40.4364617615033,23.324426408004214,0.6780383781157342,Retaining Wall,0,3.0,40.293398082064535
33.139915957316525,90.32647652073628,5.771773577200932,99.91017766569732,987.8037921605496,0,45.940867346363234,19.969546991940117,27.994432226222493,46.59070245893795,17.123391106782762,0.6277275355738411,Drainage,3,2.1568299988175417,82.3203422167513
11.775901454947174,96.96000891012494,6.377567064219846,47.33186956586549,1046.4042876128824,0,28.71759453880925,27.64442375381944,28.549645132199625,12.341080155911234,16.818249672071005,0.1043035508851576,Soil Nailing,1,3.0,32.74480887734226
12.178232492538518,67.21240726760512,11.844365499652891,6.099703563643343,1003.2915258768854,0,51.0028894987332,5.633584847730081,42.4896304115524,24.254351767203552,16.83404509853434,0.7479275370643161,Retaining Wall,0,1.095686834971931,34.65676309463642
10.505459936008142,75.45609114405701,14.79733117529648,99.14233105026427,1011.5771942728558,1,11.293354086271007,5.313091428648105,38.54532273166288,24.4944680771574,18.042422429595376,0.3231592034335765,Geosynthetics,2,1.541640091340741,32.68184014307866
30.81549613869845,65.04844693143934,7.681961102168988,57.03767176214433,980.3486633971628,0,15.137295526971052,15.805697920318394,44.30457420467603,20.951251269725937,20.24756431632238,0.798939549196735,Drainage,3,2.5065462023196288,48.123177417147126
29.453918773746263,49.84904005718227,10.191240572887503,45.90040227489703,1037.707488191113,0,43.06868681876806,9.536323871258835,34.976787758381015,5.400763994823797,19.31945018642116,0.6076407826153825,Retaining Wall,0,1.3850180529098792,61.05163637043162
